State,Company Name,Address,Contact Name,Contact Phone,Contact Email,Specialty,Website,Notes,
MN,Ebel's Voyageur Houseboats,"10326 Ash River Trail, Orr, MN 55771",N/A*,1-888-883-2357,ebels@ebels.com,Houseboat rentals (36–65 ft; generator rental available),https://www.ebels.com,Voyageur 50′ houseboat uses LP gas; generators are optional for rent and must be operated on shore:contentReference[oaicite:5]{index=5}. Contact details from site:contentReference[oaicite:6]{index=6}.,
MN,Rainy Lake Houseboats,"2031 County Road 102, International Falls, MN 56649",N/A*,1-800-554-9188,cathie@rainylakehouseboats.com,Houseboat rentals,https://www.rainylakehouseboats.com,"Houseboats include generator (except smallest boat), 110‑V electricity, refrigerator/freezer and other kitchen appliances:contentReference[oaicite:7]{index=7}. Contact details from amenities page:contentReference[oaicite:8]{index=8}.",
MN,Timber Bay Lodge & Houseboats,"8347 Timber Bay Rd, Babbitt, MN 55706",N/A*,218-827-3682,timberbaylodge@gmail.com,Houseboat rentals with Honda generators,https://timberbay.com,"All houseboats equipped with kitchens, bathroom, cabin heater and super quiet Honda generators:contentReference[oaicite:9]{index=9}. Contact details from site:contentReference[oaicite:10]{index=10}.",
MN,Kinsey Houseboats,"2718 Birch River Rd, Babbitt, MN 55706",N/A*,218-827-3763,N/A*,Houseboat rentals (33–50 ft with 120‑V generator),https://www.kinseys.com,"Family‑owned business offering 33–50 ft houseboats with GPS navigation, 120‑V generators and microwaves:contentReference[oaicite:11]{index=11}. Address and phone provided on site:contentReference[oaicite:12]{index=12}.",
MN,Northernaire Houseboats,"2690 County Road 94, International Falls, MN 56649",N/A*,218-286-5221,N/A*,Houseboat rentals (LP‑gas appliances; generator rental optional),https://www.northernairehouseboats.com,Houseboat appliances run on LP gas; 2500 W generators can be rented and must be operated on shore:contentReference[oaicite:13]{index=13}. Contact details from site:contentReference[oaicite:14]{index=14}.,
MN,Bayport Marina Association,"200 Fifth Ave S, Bayport, MN 55003",Kori Derrick (General Manager),651-439-2040,info@bayportmarina.com,Full-service marina; Westerbeke experienced service,https://www.bayportmarina.com,"Certified full‑service marina with mechanical services; technicians are highly experienced in Crusader, Volvo, Yanmar and Westerbeke generators:contentReference[oaicite:15]{index=15}. BBB listing identifies Kori Derrick as General Manager:contentReference[oaicite:16]{index=16}.",
MN,Tonka Bay Marina,"220 Tonka Bay Rd, Excelsior, MN 55331",Georgette “Gigi” Jabbour (Owner & Manager),952-474-0292,service@tonkabaymarina.com,Certified marina & Westerbeke service provider,https://www.tonkabaymarina.com,"Mariner Exchange listing notes the marina is MerCruiser–Volvo‑Penta, Westerbeke and KOHLER certified service and warranty provider:contentReference[oaicite:17]{index=17}. An article on women in marine leadership notes that Georgette “Gigi” Jabbour owns and manages Tonka Bay Marina:contentReference[oaicite:18]{index=18}.",
MN,RSI Marine / Caribbean Marina,"110 Sunrise Ave, Excelsior, MN 55331",Mike Thorson (Service Manager)*,952-472-2628,laura@caribbeanmn.com,Marine repair; generator service (discontinued) formerly experienced with Westerbeke,https://thecaribbeanmarina.com,"RSI Marine provided on‑site and mobile marine generator repair services for brands including Kohler, Westerbeke and Cummins:contentReference[oaicite:19]{index=19}, although the company notes that generator service has been discontinued:contentReference[oaicite:20]{index=20}. The RSI Marine “Our Team” page lists Mike Thorson as Service Manager responsible for service appointments:contentReference[oaicite:21]{index=21}; contact details show RSI location at The Caribbean Marina with phone 952‑472‑2628 and email laura@caribbeanmn.com:contentReference[oaicite:22]{index=22}.",
MN,Marine Center,"119 N Washington St, Lake City, MN 55041",James Kranz*,651-345-4124,mcenter@embarqmail.com,"Boat services, repair & storage; Westerbeke dealer",N/A*,"Authorized Westerbeke full‑service dealer listing provides address and contact details. The Lake City Chamber of Commerce directory shows Marine Services, repair and storage and lists James Kranz as contact:contentReference[oaicite:24]{index=24}.",
MN,MarineMax Minnesota (Rogers),"20300 County Rd 81, Rogers, MN 55374",N/A*,763-428-4126,Thomas.Ortmann@marinemax.com,Boat dealer & service center; Westerbeke dealer,https://www.marinemax.com/stores/rogers,Listed in the Westerbeke factory‑dealer directory as a full‑service dealer. Store page provides location and phone details:contentReference[oaicite:26]{index=26}.,
MN,Marine Specialties (Red Wing Marine),"1303 Levee Rd, Red Wing, MN 55066",Jared *,651-388-4991,jared@redwingmarine.com,Boat service & repair; Westerbeke dealer,N/A*,Identified in Westerbeke factory‑dealer directory as a full‑service dealer in Red Wing. The listing provides contact details but no public website; contact name is inferred from email (Jared).,
MN,Port of Sunnyside Marina,"6413 St. Croix Trail N, Stillwater, MN 55082",Jon Husie*,651-439-2118,jon.husie@sunnysidemarina.com,Member‑owned marina; Westerbeke parts dealer,https://www.sunnysidemarina.com,Authorized Westerbeke parts‑only dealer listing provides contact details. The Sunnyside Marina website describes it as a member‑owned marina on the St. Croix River and lists contact information:contentReference[oaicite:29]{index=29}.,
MN,Rockford Marine Group,"2672 SE Eastwood Ave, Buffalo, MN 55313",Jay *,612-221-5011,jay@rockfordmarinegroup.com,Full‑service marine repair; Westerbeke dealer,N/A*,Westerbeke factory‑dealer directory lists Rockford Marine Group as a full‑service dealer with contact phone and email. No public website available; contact name inferred from email (Jay).,
MN,Sam's Marine & Performance,"11204 Dellwood Rd N, Stillwater, MN 55082",Justin *,651-439-7001,justin@samsmarineandperformance.com,Boat mechanical service; Westerbeke dealer,https://www.samsmarineandperformance.com,"Listed as a full‑service Westerbeke dealer in factory directory. Mariner Exchange listing describes the shop as providing a wide array of mechanical services for inboards, outboards and other propulsion systems:contentReference[oaicite:32]{index=32}.",
MO,Five Star Houseboat Rentals,"338 Nautical Circle, Kimberling City, MO 65686;    Mailing Address: Five Stare Houseboat Vacations PO Box 1030, Kimberling City, MO 65686 ",,417-988-1387,fivestarhouseboats@gmail.com,Houseboat rental,https://tablerockhouseboatrentals.com/,Family-owned houseboat rental company on Table Rock Lake offering luxury houseboats that sleep up to 16 people; encourages guests to explore the lake and provides multi-day vacations.,
MO,Lake of the Ozarks Sales and Service,"538 State Rd F, Sunrise Beach, MO 65079",,573-723-0681,,Houseboat rental,https://www.lakeoftheozarks.com/listing/lake-of-the-ozarks-sales-and-service.html#:~:text=Staying%20on%20a%20houseboat%20is,Operates one of only two houseboat rentals on Lake of the Ozarks; rents a 59‑ft houseboat with kitchen and restroom that sleeps 10 people; also runs a marina with boat sales and repairs.,
MO,Ozark Yacht Club,"500 Yacht Club Landing Dr., Lake Ozark, MO 65049",,573-552-8401, ,Houseboat rental,https://www.lakeoftheozarks.com/listing/ozark-yacht-club.html#:~:text=Ozark%20Yacht%20Club%20has%20everything,"Marina and yacht club offering boat slips, rentals, and lodging; home to one of the lake’s only houseboat rentals—a 65‑ft houseboat available for day or weekend trips—and other amenities like a sailing school.",
MO,Firstmate Yacht Services ,"3502 Bagnell Dam Blvd, Lake Ozark, MO 65049 ",,573-216-2050,service@fmys1.com,Westerbeke generator service,https://www.doublediamondmotorsports.com/marine-services#:~:text=Providing%20parts%20and%20quality%20service,"Marine service company at Lake of the Ozarks providing winterization, maintenance and generator service; their service page notes they perform complete service and installation on gas and diesel generators from Westerbeke, Kohler, and Onan.",
MO,Dan’s Marine Service,"50 Marina Way, Kimberling City, MO 65686",,417-739-1230,DansMarine@mediacombb.net,Westerbeke repair & houseboat service,https://dansmarinetablerock.com/services/#:~:text=Since%201995%2C%20Dan%E2%80%99s%20Marine%20has,"Boat service and repair shop on Table Rock Lake since 1995; factory‑trained on Mercruiser, OMC, Mercury, Johnson, Evinrude, Volvo Penta and Westerbeke. Provides fiberglass/steel hull repair, including houseboats and day cruisers, and maintains a parts inventory.",
MO,A & J Power Systems,"2106 Aspen Road, Highlandville, MO 65669; P.O. Box 1031 Nixa, MO 65714",,417-725-2506,adam@aandjpower.com,Westerbeke generator service,https://www.aandjpower.com/page4#:~:text=We%20Provide%20Service%20for%20the,Family‑owned generator sales and service company (since 1995) that services many generator brands. Their About page lists Westerbeke among the generators they service; contact page shows the Highlandville address and phone.,
MO,Balkenbush Service Company (Ozark Power),"907 Missouri Blvd., Jefferson City, MO 65109",,573-636-0070,service@balkenbushmechanical.com,Westerbeke generator service,https://balkenbushpower.com/#:~:text=Brands%20We%20Offer%20at%20Ozark,"Ozark Power division offers backup power generation solutions and marine diesel engine service. Their site lists Westerbeke among the brands they offer and service; contact section provides the address, phone and email.",
MO,Kelly’s Port,"5250 Dude Ranch Rd., Osage Beach, MO 65065 (marina) and 3545 Osage Beach Pkwy, Osage Beach, MO 65065 (showroom)",Service mgr - Alex Chisholm; General Marina Mgr - Ryan Kelly,573-348-4700 (marina); 573-348-3888 (showroom),Kyle@KellysPort.com,Westerbeke generator dealer/service,https://www.kellysport.com/service-repair-boats-dealership--service#:~:text=;https://www.kellysport.com/about-us-boats-dealership-lake-of-the-ozarks-missouri/--info#:~:text=Kelly%27s%20Port,"Full‑service marina and boat dealer that provides maintenance, repairs and emergency on‑water service. Their service department is an authorized dealer for Volvo Penta, Mercury, Yamaha, Kohler, Marine Air, Sealand Vacu‑Flush, Maxwell and Lewmar windlass anchors and Westerbeke generators.",
MO,Formula Boats of Missouri,"4810 Formula Drive, Osage Beach, MO 65065",Service - Russ Nelson: Parts - Ken Peterson ,573-216-3624; 573-302-8000,Russn@formulaboatsmo.com; Kenp@formulaboatsmo.com,Westerbeke parts & service,https://formulaboatsmo.com/parts.asp#:~:text=Formula%20Boats%20of%20Missouri%20maintains,"Authorized Formula boat dealer. Their parts department maintains a large selection of parts for Mercury Outboards, MerCruiser, Volvo Penta, Kohler and Westerbeke generators. The Lake of the Ozarks tourism site notes that Formula Boats of Missouri operates a premier marina at Lake of the Ozarks.",
MS,Bay Springs Marina,"48 County Road 3495, New Site, MS 38859",Chris Mills*,662-728-2449,millsct1959@yahoo.com,Westerbeke dealer & full-service marina,https://www.bayspringsmarina.com,Family-owned marina with 165 slips and travel lift for boats up to 80 ft; designated Westerbeke dealer,
MS,Brian's Marine LLC,"24049 Rose Blvd, Gulfport, MS 39503",(Name unavailable)*,601-259-9745,briansmarine@hotmail.com,Westerbeke full-service dealer,,Factory-listed Westerbeke dealer; details limited,
MS,Johnson Diesel Service,"12262A Parkers Creek Rd, Biloxi, MS 39532",David Johnson,228-392-1311,davidj@johnsondiesel.com,Marine engine & generator sales/service (Westerbeke dealer),https://www.johnsondiesel.com,Offers marine generator and engine service; 50 years experience,
MS,Lee Spry Marine,"89 County Road 351, Iuka, MS 38852",(Name unavailable)*,662-424-9577,leesprymarine@avsia.com,Marine repairs & Westerbeke dealer,,"Repairs hulls, engines & propellers; designated Westerbeke dealer",
MS,Set Sail Yacht Services,"129 23rd Street, Gulfport, MS 39507",Darien Freedman*,228-596-1221,Darien@ProfessionalCaptain.com,Yacht management & Westerbeke dealer,https://professionalcaptain.com,Provides complete yacht management including generator services,
MS,Main Harbor Marina,"149 Harbor Dr, Ridgeland, MS 39157",(Name unavailable)*,601-856-5399,info@mhmarina.com,Houseboat & cruiser slip rentals,https://www.mhmarina.com,Offers slips for houseboats and cruisers on the Ross Barnett Reservoir,
MS,Columbus Marina,"295 Marina Drive, Columbus, MS 39705",Steve Arndt,662-228-1022,steve@columbusmarina.com,Full‑service marina for large vessels,http://www.columbusmarina.com,"Provides covered and uncovered slips, pump‑out and fuel services for large boats",
MS,Safe Harbor Aqua Yacht,"3832 Hwy 25, Iuka, MS 38852",Pam Snyder,662-423-2222,psnyder@shmarinas.com,Full‑service marina (max vessel 120 ft),https://shmarinas.com/aqua-yacht,General manager and dockmaster oversee 120 ft slips and full services,
MS,Gulfport Municipal Marina (Bert Jones Yacht Basin),"1133 20th Avenue, Gulfport, MS 39501",Russell Holliman Jr.,228-867-8721,marina@gulfport-ms.gov,City marina (up to 140‑ft vessels),https://www.gulfport-ms.gov/business/marina,City-owned marina with 24/7 staff; slip-side pump‑out and amenities,
MS,Captain's Wharf Marina,"1408 Cowan Rd, Gulfport, MS 39507",(Name unavailable)*,228-669-9237,(Email unavailable)*,Wet and covered dry slips,http://captainswharfmarina.com,New marina with gas/diesel dock; news article notes capacity up to 150 ft,
MS,Pass Christian Harbor,"200 W. Scenic Dr., Pass Christian, MS 39571",James Butcher,228-452-5128,harbormaster@pass-christian.ms.gov,Municipal harbor (large vessels),https://pass-christian.ms.gov/harbor,Harbor master oversees slips and after-hours security; accommodates larger vessels,
MS,Bay St. Louis Municipal Harbor,"100 Jody Compretta Dr, Bay St. Louis, MS 39520",Sean Hales,228-467-4226,harbormaster@baystlouis-ms.gov,Municipal harbor (100+ ft vessels),https://www.baystlouis-ms.gov/harbor,Harbor can handle 30/50/100‑amp service for large boats; deputy harbormaster assists,
MS,Long Beach Harbor,"201 Jeff Davis Ave, Long Beach, MS 39560",David Falks,228-863-4795,(Email unavailable)*,Municipal harbor,https://www.longbeachms.gov/departments/harbor,Assistant Harbor Master provides slips for local and transient vessels,
MS,Union Harbor Development & Marina,"21 Marina Point Dr, Iuka, MS 38852",(Name unavailable)*,888-740-6100,(Email unavailable)*,Resort community marina,https://www.unionharbor.com,50‑acre residential community on Pickwick Lake with marina and slip rentals,
MS,Eastport Marina and Resort,"892 County Road 956, Iuka, MS 38852",(Name unavailable)*,662-423-6972,info@eastportmarina.com,Full‑service marina & resort,https://www.eastportmarina.com,"Over 100 boat slips, boat repair, storage, gas dock and cabins for rent",
MS,Point Cadet Marina,"119 Beach Blvd, Biloxi, MS 39530",Christina*,228-436-9312,(Email unavailable)*,City marina (max vessel 135 ft),https://www.biloxi.ms.us/parks-and-recreation/marinas-and-harbors/point-cadet-marina,"Biloxi marina with 241 slips, travel lift and pump‑out; managed by city",
MS,Biloxi Public Harbors & Marinas,"679 Beach Blvd, Biloxi, MS 39530",Christina Johnson*,228-374-6600,lsablich@biloxi.ms.us*,Public harbors & marinas,https://www.biloxi.ms.us/port,Port manager oversees four public harbors with nearly 500 slips; contact may be general,
MS,Norman Yacht Services,"Biloxi, MS 39532",(Name unavailable)*,228-365-6705,normanyachtservices@gmail.com,Yacht surveying & maintenance,https://normanyachtservices.com,"Provides weekly maintenance, survey and detailing services across MS and AL Gulf Coast",
MS,On‑Site Generator Services,"Saucier/Biloxi, MS (mobile)",Jesse*,228-731-6010,Jesse@generatorrepairms.com,Marine generator repair service,https://generatorrepairms.com,Offers repair for marine generators; mobile service covering Biloxi and Gulf Coast,
NE,none found,,,,,,,,
OH,Pier 53 Marine,"2555 NE Catawba Rd, Port Clinton, OH 43452",Mike Downs,+1 (419) 797-2300,service@pier53marine.com*,Boat dealer & service center (Westerbeke generator service),https://www.pier53marine.com,Our Crew page lists Service Manager Mike Downs along with other technicians:contentReference[oaicite:15]{index=15}; the facility sells and services yachts and offers mechanical repair. Email inferred from contact pattern*.,
OH,South Shore Marine,"1611 Sawmill Parkway, Huron, OH 44839",Tom Mack,+1 (419) 433-5798,Sales@SouthShoreMarine.com,Boat dealership & full-service marine center (Westerbeke dealer),https://www.southshoremarine.com,"Kelleys Island Chamber listing identifies Tom Mack as contact with phone numbers and email, and notes the business offers premium boat brands and a full-service department including mechanical service and custom rigging:contentReference[oaicite:18]{index=18}:contentReference[oaicite:19]{index=19}. Team page lists office manager Jen Schill and service manager Dan Klonk:contentReference[oaicite:20]{index=20}.",
OH,Great Lakes Diesel Inc.,"13920 W Lake Rd, Vermilion, OH 44089",Jim Zima,+1 (440) 963-9580,info@greatlakesdieselmarine.com,Marine engine and generator sales & service (Westerbeke authorized),https://www.greatlakesdieselmarine.com,"Company website lists address, phone and email and states they are factory-authorized for Yanmar, Scania, Kubota and Westerbeke engines and generators:contentReference[oaicite:21]{index=21}:contentReference[oaicite:22]{index=22}. Buzzfile notes owner Jim Zima:contentReference[oaicite:23]{index=23}.",
OH,"Burt's Diesel Service, Inc.","1428 W Main St, Woodville, OH 43469",Allan Huss,+1 (419) 849-3853,info@burtsdiesel.com*,Boat engine repair & marine sales (Westerbeke service),https://www.burtsdieselservice.com,BBB profile lists owner Allan Huss and notes they specialize in boat engine repair and marine sales:contentReference[oaicite:26]{index=26}. Email inferred from business domain*.,
OH,Mike's Dockside Service,"4350 E. Bayshore Road, Port Clinton, OH 43452",Mike Griffin,+1 (419) 734-5951,info@mikesdocksideservice.com*,Marine repair & generator service (Westerbeke dealer),http://mikesdocksideservice.com,BBB listing identifies owner Mike Griffin and service manager Rory Perram:contentReference[oaicite:27]{index=27}. Company sells and services marine engines and generators; email inferred*.,
OK,Lake Murray Floating Cabins,"115 Bed & Berth Dr, Ardmore, OK 73401",Wendy Castleman*,580-223-0088,lmfloatingcabins@gmail.com,Floating cabin rentals; houseboat lodging,https://www.lakemurrayfloatingcabins.com,TravelOK listing provides address & phone; article notes Wendy Castleman as office manager for the floating cabins:contentReference[oaicite:0]{index=0}.,
OK,Pine Cove Marina,"97724 S 4485 Rd, Vian, OK 74962",Jerry Simon,918-489-5735,simonspinecove@yahoo.com,Full‑service marina; handles 100+ ft houseboats,https://simonspcm.com,Family‑owned marina can pull boats up to 100+ ft; contact info from TenkillerFerry listing:contentReference[oaicite:1]{index=1}:contentReference[oaicite:2]{index=2}.,
OK,Evergreen Marina,"113 E BK 800 Rd, Stigler, OK 74462",Faye Cole,918-799-6113,*,Marina & RV park with houseboat rentals & bar,https://evergreenmarina.com,MapQuest lists address & phone:contentReference[oaicite:3]{index=3}; BBB lists Faye Cole (manager) and Gene Cole (co‑owner):contentReference[oaicite:4]{index=4}.,
OK,Arrowhead Yacht Club & Marina,"33298 Lakeside Drive, Afton, OK 74331",Brian Stengel*,918-782-3292,brian.stengel@arrowheadok.com,Westerbeke Factory Direct dealer; full‑service marina,https://arrowheadok.com,"Westerbeke dealer list provides address, phone & email.", 
OK,Dickson Marine Service LLC,"26275 South Highway 125, Afton, OK 74331",Bobby*,918-314-4419,bobby@dicksonmarineservice.com,Westerbeke dealer; boat engine & generator service,https://dicksonmarineservice.com,"Westerbeke dealer list gives address, phone & email.", 
OK,Rebel Marine,"446056 E 350 Rd, Vinita, OK 74301",*,918-782-2176,rebelmarine@neok.com,Westerbeke dealer; marine service,https://rebelmarine.com,"Westerbeke dealer list gives address,phone & email. ", 
PA,Seven Points Marina,"5922 Seven Points Marina Dr, Hesston, PA 16647",Houseboat Rentals Manager*,814-658-3074,houseboats@7pointsmarina.com,"Houseboat rentals (58-ft, 6–10 beds)",https://7pointsmarina.com/house-boat-rentals/,Operates large houseboat fleet including 58-ft Juniata; contact for rentals.,
PA,Cleveland Brothers – Marine Power (Erie branch),"3950 Depot Rd, Erie, PA 16510",Service Representative*,814-898-3388,*,Marine engine & generator service,https://www.clevelandbrothers.com/power-systems/marine/,Offers repair and maintenance services for marine engines and generators; supports large vessels.,
PA,Winter Engine & Generator Service,"715 Vogelsong Rd, York, PA 17404",Service Manager*,717-848-3777,sales@winterenggen.com,Marine generator sales & service,https://winterenggen.com/,"Sells and services residential, RV, and marine generator sets; includes marine customers.",
PA,Full Performance Marine (Westerbeke dealer),"17442 Raystown Road, James Creek, PA 16657",Matt*,814-658-2628,fullperformancem@aol.com,Westerbeke marine generator dealer,https://www.fullperformancemarine.com/,Westerbeke factory-direct dealer; sells and services generators; located at Lake Raystown.,
PA,Joseph T. Berrena Mechanicals (Westerbeke dealer),"279 Standing Stone Ave, Huntingdon, PA 16652",Matt Berrena*,814-643-2645,office@jtbmechanical.com,Westerbeke dealer & generator services,https://jtbmechanical.com/,Factory-direct Westerbeke dealer providing generator sales and installation; central Pennsylvania.,
TX,Harborside Houseboat Rentals,"17141 Rocky Ridge Rd, Austin, TX 78734",,512-266-1069,,,https://harborsiderentals.com/,Family-owned rental company offering houseboats (up to 102 ft on Lake Travis),
TX,VIP BOATS & Yachts,"1119 Marina Point Drive, Strawn, TX 76475",,512-7484067,daron.wood@gmail.com,,https://www.vipboatsandyachts.com/,"Sales and brokerage of new & pre-owned boats and yachts, including large hourboats (e.g., Sumerset 80', 3600 Martinique)",
TX,Suntex Houseboat Vacations (Suntex Marinas),"17330 Preston Road, Suite 100C, Dallas, TX 75252",,972-7891400,info@suntex.com,,suntex.com/houseboat-vacations,Offers larg houseboat rentals for vacations; corporate office contact,
TX,Allen Mobile Marine Service,"10957 Meadow Wood Ln, Willis, TX 77318",,713-448-0703,allenmobilemarine@gmail.com,,,Factory-direct dealer listed by Westerbeke; provides mobile marine service.,
TX,Elite Diesel Service LLC,"2103 Anders Ln, Kemah, TX 77565; 201 Hwy 35 South, Rockport, TX 78382",,281-535-0200 (Kemah); 361-729-2000 (Rockport),jbowen@elitedieselservice.com; mfleming@elitedieselservice.com; service@elitedieselservice.com,,elitedieselservice.com,"Certified Westerbeke dealer; offers generator sales and service, parts including Westerbeke products.",
TX,Extreme Marine Service LLC,"135 Shark Ln, Freeport, TX 77541",,979-248-0934,,,extrememarineservice.net,Mobile boat repair service listed as factory-direct dealer in Westerbeke PDF.,
TX,Gulfstream Marine,"200 S. Shoreline Blvd, Corpus Christi, TX 78401",,361-883-8080,gulfstreammarine1982@gmail.com; glandt@flash.net,,,Marine service company; Yanmar dealer listing indicates sales/service of marine engines; listed as Westerbeke dealer.,
TX,Land & Sea Marine Services,"1900 Oak St., La Marque, TX 77568",,409-935-9466,Lns1900@sbcglobal.net,,landandseaservices.com,Marine generator and engine sales/parts; contact page lists phone and address; authorized Westerbeke dealer.,
TX,Mockingbird Marine,"2518 Todville Rd, Seabrook, TX 77586",,281-326-2250,mockingbirdmarine@yahoo.com,,mockingbirdmarine.com,"Full-service marine repairs; listed on Seabrook Marina site; handles electrical, air conditioning and Westerbeke dealers from PDF.",
TX,Palmer Power (Palmer Power & Hydraulics Co.),"6451 Rupley Circle, Houston, TX 77087",,713-644-6410,sales@palmerpower.com; service@palmerpower.com,,palmerpower.com,Marine engines and equipment dealer; Yanmar dealer listing notes sales/service/parts and contact details; factory-direct dealer for Westerbeke.,
TX,Progressive Diesel,"3120 Loop 197 N., Texas City, TX 77590",,409-945-3456,prodiesel6@gmail.com,,,Factory-direct dealer for Westerbeke (source: Westerbeke PDF); specializes in diesel generator repair; website unreachable.,
TX,True North Marine,"1206 Marina Bay Drive, Clear Lake Shores, TX 77565",,281-549-4300,service@truenorth-marine.com,,truenorth-marine.com,Full-service shipyard and dockside support; offers Westerbeke engine/generator sales and services and after-hours repair.,
TX,Yacht Equipment Service Centers (YES Centers),"828 Marina Bay Dr, Kemah, TX 77565",,281-538-9377,cbaker@yescenters.com; service@yescenters.com,,yescenters.com,Marine service center and Westerbeke dealer; sells and services Westerbeke engines/generators.,
TX,5 Star Marine,"4542 Doss Road, Austin, TX 78734",,512-266-1858,5starmarine.info@gmail.com,,fivestarmarine.net,Full-service boat yard; has Westerbeke Generator Factory Certified technicians; provides generator service and parts.,
TX,Canyon Lake Marina (Suntex),"280 Marina Drive, Canyon Lake, TX 78133; 16440 Cranes Mill Road #1, Canyon Lake, TX 78133",,830-255-7442 (Canyon Lake Marina); 830-299-7220 (Cranes Mill),canyonlakemarina@suntex.com; cranesmill@suntex.com; clservice@suntex.com,,canyonlakemarina.com,Marina with service department; authorized Westerbeke dealer; contact info includes both Canyon Lake Marina and Cranes Mill Marina.,
TX,Cedar Mills Marina & Resort,"500 Harbour View Road, Gordonville, TX 76245",,903-523-4222,parts@cedarmills.com,,cedarmills.com,Authorized Westerbeke dealer; parts & service department sells and services Westerbeke engines and generators.,
TX,Eisenhower Yacht Club Marina,"2141 Park Road 20, Denison, TX 75020",,903-463-3999,eyc@eisenhoweryachtclub.com,,boattexoma.com,"Marina on Lake Texoma; service department works on cruisers, yachts and Westerbeke generators (certified dealer).",
TX,Grandpappy Point Resort & Marina,"132 Grandpappy Dr, Denison, TX 75020",,903-465-6330,larry@grandpappy.com,,grandpappy.com,Large marina with service department; authorized Westerbeke dealer; contact details available.,
TX,MarineMax San ANtonio,"141 balcones North, San Antonio, TX",,210-734-8199,Chris.Jarmon@marinemax.com,,,Boat dealership; listed as factory-direct Westerbeke dealer in PDF.,
TX,Plano Marine,"1477 E Hillpark Rd, The Colony, TX 75056",,972-423-3134,dhoyle@planomarine.com,,planomarine.com,Boat dealership with multiple locations; sells new and used boats; listed as factory-direct Westerbeke dealer in PDF.,
TX,South Austin Marine,"5340 Highway 290 West, Austin, TX 78735;",,512-892-2432 ,duane@southaustinmarine.com,,southaustinmarine.com,Marine boat store; top boat dealership with parts and repairs; listed in PDF as dealer; does not explicitly mention Westerbeke.,
TX,Water Power Marine,"313 Aviator Drive, Fort Worth, TX 76179",,817-313-9808,txboatboy@gmail.com,,waterpowermarine.com,Dockside boat and yacht repair service; Westerbeke dealer; provides generator repair and replacement services for gas/diesel units.,
WI,Fun 'N The Sun Houseboats,"W1749 River Harbor Rd, Alma, WI 54610",Eric & Nikki*,888-343-5670,funsunvacation@aol.com,Houseboat rentals (≥50 ft),https://funsun.com,"Family‑run business near Alma, WI; operates a fleet of large houseboats accommodating 2‑14 people with 1–6 bedrooms, as confirmed on their site:contentReference[oaicite:0]{index=0}.",
WI,Anchor Point Marina,"9118 Marion Lane, Fremont, WI 54940",Todd Gleisner*,920-446-2224,(contact form)*,Houseboat rentals & marina,https://www.anchorpointmarina.com,Only destination in central Wisconsin offering 50‑foot houseboat rentals; 50‑ft Grandeurs houseboat sleeps up to 10 people:contentReference[oaicite:1]{index=1}. Contact information is via phone and web form; owners Todd & Allison Gleisner identified on their site:contentReference[oaicite:2]{index=2}.,
WI,Great River Houseboats / Alma Marina,"125 Beach Harbor Road, Alma, WI 54610",General Manager*,608-685-3333,info@almamarina.net,Houseboat rentals & marina,https://almamarina.net,Great River Houseboats at Alma Marina offers boats from 40 to 59 ft sleeping up to 12 and includes full kitchens and flybridge with wet bar:contentReference[oaicite:3]{index=3}. Alma Marina handles boats up to 60 ft and provides 30–50 amp slips:contentReference[oaicite:4]{index=4}.,
WI,Bay Marine of Sturgeon Bay,"155 E Redwood St, Sturgeon Bay, WI 54235",Greg Gast (General Manager),920-743-6526,ggast@baymarinesturgeonbay.com,Westerbeke dealer & full‑service marina,https://baymarinesturgeonbay.com,Authorized service center that lists Westerbeke among manufacturers supported:contentReference[oaicite:5]{index=5}. Greg Gast is the general manager according to the service page:contentReference[oaicite:6]{index=6}.,
WI,Bridgeport Marine (Houlton),"1441 Hwy 64, Houlton, WI 54082",Manager*,715-549-6554,info@bridgeportmarine.com*,Boat dealer & Westerbeke service,https://www.bridgeportmarine.com,Listed as a Westerbeke dealer in the manufacturer’s dealer directory. No dedicated houseboat services found; contact details inferred from general store information.,
WI,Centerpointe Yacht Services (Milwaukee),"700 S Water St, Milwaukee, WI 53204",Service Manager*,414-273-0711,(not listed)*,"Boat sales, slips & Westerbeke service",https://centerpointeservice.com,"Provides boat sales, service, slips and storage in Milwaukee; facility description emphasises factory‑certified maintenance and skilled technicians:contentReference[oaicite:7]{index=7}.",
WI,Jerry’s Majestic Marine,"453 Madison St, Walworth, WI 53184",Mark (General Manager),262-248-6128,mark@jerrysmajestic.com,Westerbeke dealer & marina services,https://jerrysmajestic.com,"Full‑service dealership offering storage, service and marina at Lake Geneva. The ‘Our Team’ page lists Mark as general manager with the email mark@jerrysmajestic.com:contentReference[oaicite:8]{index=8}.",
WI,Gage Marine (Delavan),"5167 Highway 50, Delavan, WI 53115",Dave Cleveland (Service Mgr),262-740-2628,dave.cleveland@gagemarine.com,Westerbeke dealer & full‑service marina,https://gagemarine.com,"Offers boat sales, storage and marina services. Identified as a Westerbeke dealer in the manufacturer’s listing; Dave Cleveland is the service contact (email from the dealer list).",
WI,Nestegg Marine (Marinette),"300 Wells St, Marinette, WI 54143",Chris Marx (General Manager),715-732-4466,cmarx@manitowoc-marina.com,Marina & Westerbeke service,https://nesteggmarine.com,"Part of Manitowoc Marina LLC; team page lists Chris Marx as general manager with contact details and notes that the facility offers slips, sales and service:contentReference[oaicite:9]{index=9}.",
